CODI ESTRUCTURA Especie ALT COPA PIVI DRMA DEMA LUAR ANTR PRMO TROG ERRU PHOC TUTO TUME TUPH TUVI SYBO SYAT PHBO PHCO REGU REIG AECA PACR PAAT PAMA SIEU CEFA CEBR GAGL FRCO SECI LOCU PYRA EMCA G_m2_ha ALCDOM PEUSMHA RECHERB p_G_fina p_N_fina p_G_median p_N_median p_G_gruesa p_N_gruesa Dfina Dmedia Dgruesa DT SD_maderaFMG RECARBUSTIU TOTR TOTA GENR GENA SPER SPEA UBIR UBIA GRER GREA GRIR GRIA EXCR EXCA PARR PARA SOTR SOTA EDGR EDGA CORR CORA INHR INHA EXTR EXTA HOLR HOLA DHOR DHOA NLTR NLTA
14 ANEBV3 BV Uncinata 2038.77002 1 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 10 0 0 1 0 0 5 0 0 0 0 15.9 12 21.22 77 7.831021438 42.85714286 17.99495586 19.19642857 74.1740227 37.94642857 96 43 85 224 27.97022226 30 9 24 3 7 5 16 1 1 3 4 1 1 2 3 2 11 0 0 4 5 1 1 4 18 4 9 2 3 2 11 1 1
15 ANEBV5 BV Uncinata 2055.560059 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 7 0 0 1 0 0 4 3 0 0 0 35.9 13.4 31.83 68 8.713166317 38.54389722 17.17249752 22.69807281 74.11433617 38.75802998 180 106 181 467 43.01550108 64 8 21 3 9 5 12 0 0 2 3 1 1 1 2 2 8 0 0 2 5 1 1 5 15 4 10 1 2 2 8 1 1
16 ANEBV6 BV Uncinata 2147.800049 0 0 0 2 0 0 2 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 4 0 0 0 0 0 3 0 0 0 0 54.9 14.3 63.66 60 8.891914162 36.57770801 15.86715867 23.39089482 75.24092717 40.03139717 233 149 255 637 55.94044452 52 6 15 3 6 3 9 0 0 1 2 0 0 1 2 1 4 0 0 2 3 0 0 4 12 4 9 1 2 1 4 0 0
17 ANEBV7 BV Uncinata 2114.929932 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 6 0 0 0 0 1 1 0 0 0 0 42.3 13.7 53.05 73 19.35853927 55.89459085 19.85564744 19.14008322 60.7858133 24.96532594 403 138 180 721 142.4300998 70 7 13 3 4 4 9 0 0 1 1 0 0 1 1 2 7 0 0 2 3 2 2 3 8 4 5 1 1 2 7 0 0
18 ARABV00.1 BV Uncinata 2055.479981 0 0 0 1 0 0 1 2 2 0 0 1 0 0 0 0 0 0 0 0 0 2 3 0 0 0 2 0 2 1 0 0 0 44.9 13.3 84.88 87 33.64283235 68.48635236 35.33061437 21.91894127 31.02655328 9.594706369 828 265 116 1209 375.5249659 72 10 17 6 9 4 8 0 0 2 3 1 2 1 1 2 5 3 5 3 4 1 2 6 11 4 5 1 1 2 5 3 6
19 ARABV00.2 BV Uncinata 2088.51001 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 0 2 0 0 0 0 26.2 13.2 42.44 75 36.7245283 78.04597701 23.48679245 12.18390805 39.78867925 9.770114943 679 106 85 870 337.0474744 62 9 12 5 6 4 6 0 0 2 2 1 1 1 1 2 4 2 2 3 3 1 2 5 7 3 4 1 1 2 4 3 3
20 ARABV1 BV Uncinata 2192.620117 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 8 0 1 0 1 0 1 0 3 0 0 65.2 14.5 84.88 42 6.071470211 31.80628272 20.29847266 27.87958115 73.63005713 40.31413613 243 213 308 764 48.56267428 19 8 18 1 1 7 17 0 0 3 4 2 2 1 2 2 9 0 0 0 0 1 1 7 17 3 5 1 2 3 10 1 1
21 ARABV2 BV Uncinata 2188.27002 0 0 0 1 0 0 2 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 7 0 0 0 1 0 3 0 0 0 0 46.7 14 169.76 77 20.9088599 53.01478953 34.6730476 31.39931741 44.4180925 15.58589306 466 276 137 879 165.1575006 71 10 19 4 7 6 12 0 0 2 2 1 1 1 1 1 7 3 3 3 4 0 0 7 15 5 8 1 1 1 7 3 3
22 ARABV47.1 BV Uncinata 2098.590088 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 2 0 4 3 0 0 0 27 12.9 95.49 48 28.16790052 64.99215071 22.31006972 15.07064364 49.52202976 19.93720565 414 96 127 637 175.3349176 46 6 16 2 7 4 9 0 0 2 4 1 2 1 2 2 5 0 0 1 3 1 2 4 11 2 7 1 2 2 5 1 2
23 ARABV49.1 BV Uncinata 2121.969971 1 0 0 1 0 0 0 0 1 0 2 0 0 1 0 0 0 0 2 0 0 2 3 0 0 0 1 0 3 3 2 0 0 51 13.9 286.48 60 24.84914127 60.87328767 37.1886121 27.31164384 37.96224663 11.81506849 711 319 138 1168 292.9032832 11 12 22 6 11 6 11 0 0 2 2 1 1 1 1 2 5 1 1 5 8 1 2 6 12 7 14 1 1 2 5 2 2
24 ARAFM01.1 FM Uncinata 1811.914682 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 1 2 0 0 1 5 0 0 0 2 0 4 0 0 0 0 49.6 16.8 159.15 10 15.08246697 48.89779559 37.40326741 30.86172345 47.51426561 20.24048096 488 308 202 998 144.5867675 65 9 19 2 5 7 14 0 0 2 3 1 2 1 1 2 6 1 2 2 2 1 1 6 16 5 10 1 1 2 6 1 2
25 ARAFM13.1 FM Uncinata 1811.732284 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 3 5 0 0 0 2 0 4 0 2 0 0 44.2 16.3 148.54 53 15.13952977 38.16604709 49.90990991 44.73358116 34.95056032 17.10037175 308 361 138 807 116.5032188 44 9 21 3 7 6 14 0 0 2 3 1 2 1 1 2 8 1 1 2 3 1 3 6 15 4 9 1 1 2 8 2 3
26 ARAFM14.1 FM Uncinata 1892.279442 0 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 2 5 0 1 0 3 0 3 0 0 0 0 57.5 16.3 148.54 35 17.0526817 45.42343884 43.49556168 38.15226689 39.45175662 16.42429427 531 446 192 1169 176.3812159 28 11 20 5 7 6 13 0 0 3 5 2 4 1 1 2 7 1 1 4 4 1 2 6 14 5 7 1 1 3 8 2 4
27 ARATD27.1 TD Uncinata 2127.313868 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 1 8 0 0 0 1 0 3 2 0 0 0 39.9 15.9 74.27 27 20.88399442 43.95465995 53.68746263 45.46599496 25.42854295 10.57934509 349 361 84 794 156.5769247 21 8 21 3 6 5 15 0 0 2 2 1 1 1 1 2 9 0 0 2 3 1 1 5 17 4 10 1 1 2 9 1 1
28 ARATD27.2 TD Uncinata 2109.526529 0 0 0 1 0 0 0 1 2 0 1 0 0 0 0 0 0 1 2 0 0 2 7 0 0 0 2 0 2 1 0 0 0 24.8 16.2 74.27 32 26.54017334 61.73393124 47.07581791 31.83856502 26.38400875 6.427503737 413 213 43 669 185.2025918 21 11 22 5 7 6 15 0 0 2 3 1 2 1 1 2 9 2 3 4 5 1 2 6 15 5 7 1 1 2 9 3 5
29 ARATD27.3 TD Uncinata 2200.642231 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 2 7 0 0 0 2 0 3 0 0 0 0 40.2 17.1 74.27 15 11.5377033 42.26804124 35.55446033 32.84241532 52.90783637 24.88954345 287 223 169 679 59.07057925 64 7 18 2 4 5 14 0 0 2 3 1 2 1 1 2 9 1 1 1 1 1 2 5 15 2 5 1 1 2 9 2 3
30 ARATF26.1 TF Uncinata 2039.651834 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 4 0 0 0 0 0 0 0 0 0 0 21.5 13.2 42.44 28 64.05111131 88.54368932 24.76379016 9.32038835 11.18509853 2.13592233 912 96 22 1030 493.8677286 50 6 10 3 4 3 6 0 0 0 0 0 0 0 0 2 5 1 1 3 4 1 1 2 5 3 4 0 0 2 5 1 1
31 BESBV1 BV Uncinata 2207.350098 0 0 0 1 0 0 0 2 0 0 0 1 0 4 0 0 0 0 1 0 0 2 3 0 0 0 1 0 3 0 1 1 0 56 13.5 42.44 60 9.656614956 30.86419753 43.4547673 42.87317621 46.88861774 26.26262626 275 382 234 891 76.41334962 60 11 20 4 10 7 10 0 0 2 2 1 1 1 1 2 5 2 3 2 5 1 2 8 13 6 11 1 1 2 5 2 3
32 BESBV2 BV Uncinata 2181.540039 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 6 0 0 0 1 0 4 0 0 1 0 35.6 12.6 0 83 8.042778414 37.65690377 25.42696568 31.17154812 66.53025591 31.17154812 180 149 149 478 17.89785834 91 9 17 4 7 5 10 0 0 2 2 1 1 1 1 2 7 2 2 2 2 1 1 6 14 4 7 1 1 2 7 2 2
33 BESFM1 FM Uncinata 2135.426204 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 1 7 0 0 0 2 0 4 0 0 1 0 75.2 16.4 424.41 60 20.45580002 47.42268041 39.23980759 34.29553265 40.3043924 18.28178694 690 499 266 1455 212.3464151 60 8 20 2 7 6 13 0 0 2 3 1 2 1 1 2 8 1 3 1 1 1 1 6 18 3 6 1 1 2 8 2 5
34 BESFM2 FM Uncinata 2121.455791 1 0 1 1 0 0 2 0 0 0 0 1 0 0 0 1 0 0 1 0 0 2 4 0 0 0 2 1 6 0 0 0 0 52.1 16.5 74.27 77 7.086090267 26.86357243 29.01341811 34.31786217 63.90049163 38.8185654 191 244 276 711 42.93017587 88 12 23 5 11 7 12 0 0 3 4 1 2 2 2 2 6 2 2 2 3 3 4 7 16 7 13 2 2 2 6 1 2
35 BESFM3 FM Uncinata 2127.938042 1 0 0 4 0 0 1 0 0 0 0 1 0 2 0 0 0 0 3 0 0 1 4 0 0 0 0 0 5 0 0 0 0 48.9 16 106.1 73 15.45830352 40.25974026 39.24000318 36.68831169 45.3016933 23.05194805 372 339 213 924 83.91066678 85 9 22 5 10 4 12 0 0 1 4 0 0 1 4 2 5 1 1 3 4 1 1 5 17 6 13 1 4 2 5 0 0
36 BOEBV1 BV Uncinata 2151.030029 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 2 5 0 1 1 0 0 2 0 0 0 0 35.4 13.5 95.49 57 27.66076317 62.58503401 37.90714565 26.53061224 34.43209118 10.88435374 552 234 96 882 233.8461032 30 7 17 2 4 5 13 0 0 2 2 2 2 0 0 2 7 1 2 1 2 1 2 5 13 2 6 0 0 3 8 2 3
37 BOEBV2 BV Uncinata 1991.089966 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 3 0 0 2 6 0 0 0 1 0 2 0 1 1 0 26.4 13.4 10.61 45 16.9594997 49.89247312 29.2659321 31.82795699 53.7745682 18.27956989 232 148 85 465 73.74957627 24 12 21 4 5 8 16 0 0 2 2 1 1 1 1 2 8 2 2 4 4 1 2 7 15 7 10 1 1 2 8 2 2
38 BOEBV3 BV Uncinata 1939.199951 0 0 1 0 0 0 0 2 2 0 0 0 0 0 0 2 0 0 3 0 0 1 4 0 0 0 0 1 3 0 0 0 0 51.3 14.3 53.05 35 7.546044292 37.32057416 11.60241593 16.90590112 80.85153978 45.77352472 234 106 287 627 93.05374791 55 9 19 4 8 5 11 0 0 1 1 0 0 1 1 2 5 3 6 1 2 3 3 5 14 4 9 1 1 2 5 2 4
